year,female,male,single,married,full_time,part_time,visa_f,visa_j,visa_other
2007/08,278841.0,344964.0,543958.0,79847.0,575772.0,48033.0,552691.0,31814.0,39300.0
2008/09,304242.0,367374.0,591694.0,79922.0,613185.0,58431.0,589007.0,39625.0,42984.0
2009/10,309534.0,381389.0,615612.0,75311.0,637722.0,53201.0,612158.0,38692.0,40073.0
2010/11,322582.0,400695.0,653842.0,69435.0,669031.0,54246.0,645163.0,40504.0,37610.0
2011/12,338671.0,425824.0,690339.0,74156.0,714038.0,50457.0,688810.0,42047.0,33638.0
2012/13,363922.0,455722.0,744237.0,75407.0,769646.0,49998.0,747515.0,42621.0,29508.0
2013/14,390749.0,495303.0,806307.0,79745.0,829345.0,56707.0,804535.0,49619.0,31898.0
2014/15,426043.0,548883.0,886208.0,88718.0,912531.0,62395.0,881333.0,58496.0,35097.0
2015/16,451982.0,591857.0,950937.0,92902.0,971814.0,72025.0,957200.0,52192.0,34447.0
2016/17,470366.0,608456.0,970940.0,107882.0,1007620.0,71202.0,994674.0,45311.0,38837.0
2017/18,477329.0,617463.0,999545.0,95247.0,1028010.0,66782.0,1015967.0,44886.0,33939.0
2018/19,480836.0,614463.0,1002199.0,93100.0,1030676.0,64623.0,1018628.0,44907.0,31764.0
2019/20,477520.0,597976.0,987305.0,88191.0,1016344.0,59152.0,1000211.0,44095.0,31190.0
2020/21,407686.0,506409.0,827256.0,86839.0,843710.0,70385.0,860163.0,16454.0,37478.0
2021/22,428731.0,519788.0,861255.0,87264.0,884020.0,64499.0,884020.0,27507.0,36992.0
2022/23,473620.0,583568.0,966270.0,90918.0,986356.0,70832.0,989528.0,34887.0,32773.0
